
2024/08/24 (15:04:17) | ===> btop++ v.1.3.2
2024/08/24 (15:04:17) | INFO: Logger set to INFO
2024/08/24 (15:04:17) | INFO: Logger set to DEBUG

2024/08/24 (15:20:13) | ===> btop++ v.1.3.2
2024/08/24 (15:20:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (15:20:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/24 (15:24:14) | ===> btop++ v.1.3.2
2024/08/24 (15:24:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (15:24:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/24 (15:24:51) | ===> btop++ v.1.3.2
2024/08/24 (15:24:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (15:24:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/24 (21:20:20) | ===> btop++ v.1.3.2
2024/08/24 (21:20:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (21:20:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/24 (21:20:39) | ===> btop++ v.1.3.2
2024/08/24 (21:20:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (21:20:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/24 (21:21:16) | ===> btop++ v.1.3.2
2024/08/24 (21:21:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (21:21:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/24 (21:21:35) | ===> btop++ v.1.3.2
2024/08/24 (21:21:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (21:21:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/25 (23:30:17) | ===> btop++ v.1.3.2
2024/08/25 (23:30:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/25 (23:39:22) | ===> btop++ v.1.3.2
2024/08/25 (23:39:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/25 (23:45:09) | ===> btop++ v.1.3.2
2024/08/25 (23:45:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/25 (23:46:15) | ===> btop++ v.1.3.2
2024/08/25 (23:46:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/26 (15:23:09) | ===> btop++ v.1.3.2
2024/08/26 (15:23:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/27 (14:09:58) | ===> btop++ v.1.3.2
2024/08/27 (14:09:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/28 (18:14:46) | ===> btop++ v.1.3.2
2024/08/28 (18:14:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/28 (22:23:01) | ===> btop++ v.1.3.2
2024/08/28 (22:23:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/28 (22:24:55) | ===> btop++ v.1.3.2
2024/08/28 (22:24:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/28 (22:36:02) | ===> btop++ v.1.3.2
2024/08/28 (22:36:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/28 (22:36:03) | ===> btop++ v.1.3.2
2024/08/28 (22:36:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/28 (23:44:04) | ===> btop++ v.1.3.2
2024/08/28 (23:44:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/30 (01:16:25) | ===> btop++ v.1.3.2
2024/08/30 (01:16:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/30 (01:16:27) | ===> btop++ v.1.3.2
2024/08/30 (01:16:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/30 (01:16:30) | ===> btop++ v.1.3.2
2024/08/30 (01:16:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/30 (17:50:50) | ===> btop++ v.1.3.2
2024/08/30 (17:50:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/08/30 (17:51:04) | ===> btop++ v.1.3.2
